iter	Passed	Remaining
0	2	411
1	4	440
2	6	417
3	8	403
4	9	389
5	11	383
6	13	375
7	15	371
8	17	365
9	18	360
10	20	358
11	22	355
12	24	352
13	26	350
14	27	342
15	29	338
16	31	336
17	32	332
18	34	329
19	36	326
20	37	323
21	39	321
22	41	319
23	43	317
24	45	316
25	46	314
26	48	312
27	50	310
28	52	308
29	53	305
30	55	303
31	57	301
32	59	299
33	61	298
34	62	295
35	64	293
36	66	291
37	67	289
38	69	287
39	71	285
40	73	283
41	74	281
42	76	280
43	80	284
44	82	283
45	83	281
46	85	278
47	87	277
48	89	275
49	91	273
50	93	271
51	94	269
52	96	267
53	98	265
54	100	263
55	101	261
56	103	259
57	105	257
58	106	255
59	108	253
60	110	251
61	112	249
62	114	247
63	115	246
64	117	244
65	119	242
66	121	240
67	122	238
68	124	236
69	126	234
70	128	232
71	129	230
72	132	229
73	134	228
74	135	226
75	137	224
76	139	222
77	141	220
78	142	218
79	144	216
80	146	215
81	148	213
82	150	211
83	152	210
84	153	208
85	155	206
86	157	204
87	158	202
88	160	200
89	162	198
90	164	197
91	166	195
92	168	193
93	169	191
94	171	189
95	173	187
96	175	185
97	176	184
98	178	182
99	180	180
100	182	178
101	184	177
102	185	175
103	187	173
104	189	171
105	191	169
106	193	167
107	195	166
108	196	164
109	198	162
110	200	160
111	202	158
112	204	157
113	205	155
114	207	153
115	209	151
116	211	149
117	212	148
118	214	146
119	216	144
120	218	142
121	220	141
122	222	139
123	224	137
124	225	135
125	227	133
126	229	131
127	231	129
128	232	128
129	234	126
130	236	124
131	238	122
132	239	120
133	241	119
134	243	117
135	245	115
136	247	113
137	249	111
138	250	110
139	252	108
140	255	106
141	257	104
142	259	103
143	261	101
144	262	99
145	264	97
146	266	95
147	267	94
148	269	92
149	271	90
150	272	88
151	274	86
152	276	84
153	277	83
154	279	81
155	281	79
156	283	77
157	284	75
158	286	73
159	288	72
160	290	70
161	291	68
162	293	66
163	295	64
164	297	63
165	299	61
166	301	59
167	303	57
168	305	56
169	307	54
170	309	52
171	310	50
172	312	48
173	314	46
174	316	45
175	318	43
176	319	41
177	321	39
178	323	37
179	325	36
180	326	34
181	328	32
182	330	30
183	332	28
184	333	27
185	335	25
186	337	23
187	339	21
188	341	19
189	342	18
190	344	16
191	346	14
192	348	12
193	350	10
194	352	9
195	353	7
196	355	5
197	357	3
198	359	1
199	360	0
